source_name,source_page,document_title,pdf_url,reason
Ministry of Health Sri Lanka - Manuals and Guidelines,https://www.health.gov.lk/moh-page/other-manuals-guidelines/,National Digital Health Guidelines,http://www.health.gov.lk/wp-content/uploads/2022/10/NDHGS-v2.pdf,No readable text or very low word count
Ministry of Health Sri Lanka - Manuals and Guidelines,https://www.health.gov.lk/moh-page/other-manuals-guidelines/,DOWNLOAD,https://www.health.gov.lk/wp-content/uploads/2023/11/Batch797.pdf,No readable text or very low word count
Ministry of Health Sri Lanka - Manuals and Guidelines,https://www.health.gov.lk/moh-page/other-manuals-guidelines/,DOWNLOAD,https://www.health.gov.lk/wp-content/uploads/2023/11/Batch746.pdf,No readable text or very low word count
Ministry of Health Sri Lanka - Manuals and Guidelines,https://www.health.gov.lk/moh-page/other-manuals-guidelines/,DOWNLOAD,https://www.health.gov.lk/wp-content/uploads/2023/11/Batch046.pdf,No readable text or very low word count
Ministry of Health Sri Lanka - Manuals and Guidelines,https://www.health.gov.lk/moh-page/other-manuals-guidelines/,DOWNLOAD,https://www.health.gov.lk/wp-content/uploads/2023/11/Guideline-for-dengue.pdf,No readable text or very low word count
Ministry of Health Sri Lanka - Manuals and Guidelines,https://www.health.gov.lk/moh-page/other-manuals-guidelines/,DOWNLOAD,https://www.health.gov.lk/wp-content/uploads/2023/11/02-116-2024.pdf,No readable text or very low word count
Ministry of Health Sri Lanka - Manuals and Guidelines,https://www.health.gov.lk/moh-page/other-manuals-guidelines/,DOWNLOAD,https://www.health.gov.lk/wp-content/uploads/2023/11/Batch2177.pdf,No readable text or very low word count
Ministry of Health Sri Lanka - Manuals and Guidelines,https://www.health.gov.lk/moh-page/other-manuals-guidelines/,DOWNLOAD,https://www.health.gov.lk/wp-content/uploads/2024/01/Sports-Medicine-Guideline-Manual-Book.pdf,No readable text or very low word count
Ministry of Health Sri Lanka - Manuals and Guidelines,https://www.health.gov.lk/moh-page/other-manuals-guidelines/,DOWNLOAD,https://www.health.gov.lk/wp-content/uploads/2023/11/02-178-2023.pdf,No readable text or very low word count
Ministry of Health Sri Lanka - Annual Health Bulletin,https://www.health.gov.lk/annual-health-bulletin/,National Digital Health Guidelines,http://www.health.gov.lk/wp-content/uploads/2022/10/NDHGS-v2.pdf,No readable text or very low word count
Ministry of Health Sri Lanka - Health Policy Repository,https://www.health.gov.lk/moh-page/health-policy-repository/,National Digital Health Guidelines,http://www.health.gov.lk/wp-content/uploads/2022/10/NDHGS-v2.pdf,No readable text or very low word count
Ministry of Health Sri Lanka - Health Policy Repository,https://www.health.gov.lk/moh-page/health-policy-repository/,DOWNLOAD,https://www.health.gov.lk/wp-content/uploads/2022/08/1_National-Health-Policy-1996.pdf,No readable text or very low word count
National STD/AIDS Control Programme - Publications,https://aidscontrol.gov.lk/index.php?Itemid=28&id=19&lang=en&option=com_content&view=article,Annual Report of the NSACP - 2024,https://aidscontrol.gov.lk/images/publications/annual_reports/2024/New_Annual_report-2024.pdf,No readable text or very low word count
National STD/AIDS Control Programme - Publications,https://aidscontrol.gov.lk/index.php?Itemid=28&id=19&lang=en&option=com_content&view=article,Administration Report of the NSACP - 1969 - 1970,https://aidscontrol.gov.lk/images/publications/administration_report_1969_70.pdf,No readable text or very low word count
National STD/AIDS Control Programme - Publications,https://aidscontrol.gov.lk/index.php?Itemid=28&id=19&lang=en&option=com_content&view=article,Guidelines for Management of Pregnant Women with Hepatitis B Infection,https://aidscontrol.gov.lk/images/publications/guidelines/Guidelines_for_management_of_pregnant_women_with_Hepatitis_B_infection_in_SL_2026.pdf,No readable text or very low word count
National STD/AIDS Control Programme - Publications,https://aidscontrol.gov.lk/index.php?Itemid=28&id=19&lang=en&option=com_content&view=article,"The strategy for Elimination of Vertical Transmission of HIV, Hepatitis B, and syphilis",https://aidscontrol.gov.lk/images/publications/guidelines/The_strategy_for_elimnation_of_vertical_transmission_of_HIV_Hepetitis_B_and_Syphilis_in_SL_2026_2.pdf,No readable text or very low word count
National STD/AIDS Control Programme - Publications,https://aidscontrol.gov.lk/index.php?Itemid=28&id=19&lang=en&option=com_content&view=article,"Guideline for the management of patients presenting with opioid, cannabis, methamphetamine or polysubstance withdrawal at primary health care settings",https://aidscontrol.gov.lk/images/publications/guidelines/Management_Guideline.pdf,No readable text or very low word count
National STD/AIDS Control Programme - Publications,https://aidscontrol.gov.lk/index.php?Itemid=28&id=19&lang=en&option=com_content&view=article,Guidelines for the management of HIV infection in pregnancy in Sri Lanka (1st Edition),https://aidscontrol.gov.lk/images/publications/guidelines/guidelines_for_the_management_of_hiv_infection_in_pregnancy_in_sri_lanka_m.pdf,No readable text or very low word count
National STD/AIDS Control Programme - Publications,https://aidscontrol.gov.lk/index.php?Itemid=28&id=19&lang=en&option=com_content&view=article,National Size estimation of the Most at Risk Population for HIV in Sri Lanka- Part I,https://aidscontrol.gov.lk/images/publications/research_documents/PSE-Report---Part-1.pdf,No readable text or very low word count
National STD/AIDS Control Programme - Publications,https://aidscontrol.gov.lk/index.php?Itemid=28&id=19&lang=en&option=com_content&view=article,Part II,https://aidscontrol.gov.lk/images/publications/research_documents/PSE-Report---Part-2.pdf,No readable text or very low word count
National STD/AIDS Control Programme - Publications,https://aidscontrol.gov.lk/index.php?Itemid=28&id=19&lang=en&option=com_content&view=article,Technical Report - Sri Lankan HIV estimation - Working group proceedings April 2026,https://aidscontrol.gov.lk/images/publications/other_doc/Preliminary_HIV_Estimation_TWG_Report__SIM_unitNSACP_752026.pdf,No readable text or very low word count
